
232,11.85
333,11.25
660,11.49
714,10.43
705,10.48
513,10.43
694,9.96
817,9.96
790,9.98
759,9.93
744,9.93
702,9.93
740,9.96
814,9.96
728,10.79
600,10.68
692,11.04
761,10.19
791,10.68
803,10.32
797,10.32
797,10.32
799,10.84
811,10.03
805,10.02
804,10.08
801,10.48
791,10.48
722,10.43
694,10.48
517,10.38
573,10.03
455,10.27
345,10.22
430,10.32
539,9.98
540,9.96
439,10.32
433,9.91
482,10.38
614,10.87
657,10.43
660,10.38
669,10.38
723,10.38
748,10.38
753,10.32
762,10.32
771,9.93
734,10.32
727,10.43
758,10.48
762,10.48
742,10.43
713,10.43
690,10.38
703,10.43
663,10.43
643,10.36
695,10.32
767,9.93
794,9.91
808,9.93
825,10.03
829,10.02
818,10.48
811,10.98
826,10.98
830,11.49
815,11.13
799,11.13
800,11.22
815,11.20
811,11.64
816,11.70
810,10.77
801,11.23
777,10.89
741,11.80
722,12.25
718,11.85
727,11.95
696,12.40
665,12.81
575,12.91
485,12.01
431,12.06
370,12.50
167,14.15
167,13.87
167,13.36
168,13.41
169,13.46
173,14.08
176,13.62
175,13.72
177,13.26
181,13.27
191,13.77
192,12.86
187,12.91
183,12.91
177,12.95
172,13.53
170,13.41
175,13.51
185,13.62
189,13.77
190,13.67
191,13.27
182,13.57
181,12.97
216,13.02
740,11.75
812,12.01
828,10.48
831,9.98
809,10.43
775,10.43
784,10.79
821,10.74
796,10.32
781,10.32
810,10.38
823,10.43
806,10.92
818,10.48
829,10.14
831,10.08
825,10.84
808,11.20
770,10.63
753,10.19
739,10.17
738,10.19
731,9.72
671,9.67
529,10.43
382,10.62
236,9.62
226,9.28
242,9.21
257,9.57
269,10.84
243,8.42
201,8.35
198,8.42
201,8.35
185,9.42
178,8.30
188,8.25
196,8.66
197,8.66
198,8.61
190,8.71
197,9.11
200,9.07
207,8.56
224,8.51
229,8.01
230,7.96
213,7.03
192,7.10
170,7.44
159,7.44
160,7.79
160,8.15
160,7.60
164,6.74
172,6.69
175,6.69
181,7.00
183,6.53
188,7.05
194,6.95
188,6.74
164,6.14
159,6.12
159,5.88
174,9.83
211,8.97
