
0,222,0
200,222,0
401,222,0
602,222,0
802,222,0
1003,222,0
1204,221,0
1404,222,0
1605,221,0
1806,221,0
2007,221,0
2207,221,0
2409,221,0
2610,221,0
2810,221,0
3011,221,0
3212,221,0
3412,221,0
3613,221,0
3814,221,0
4015,221,0
4215,221,0
4416,221,0
4618,221,0
4818,221,0
5019,221,0
5220,221,0
5421,221,0
5621,221,0
5822,221,0
6023,221,0
6223,221,0
6424,221,0
6625,221,0
6827,221,0
7027,221,0
7228,221,0
7429,221,0
7629,221,0
7830,221,0
8031,221,0
8231,221,0
8432,221,0
8633,221,0
8834,221,0
9035,221,0
9236,221,0
9437,221,0
9637,221,0
9838,221,0
10039,221,0
10240,221,0
10440,221,0
10641,221,0
10842,221,0
11043,221,0
11244,221,2
11445,221,45
11645,220,148
11846,221,183
12047,221,183
12249,221,183
12449,221,223
12650,221,308
12851,221,401
13052,221,503
13253,221,585
13454,221,687
13655,221,794
13855,222,905
14057,222,999
14258,222,1023
14458,222,1023
14659,222,1023
14861,222,1023
15062,223,1023
15262,223,1023
15463,223,1023
15665,223,1023
15865,223,1023
16066,224,1023
16268,224,1023
16468,224,1023
16669,224,1023
16870,224,1023
17072,224,1023
17272,224,1023
17473,225,1023
17674,225,1023
17875,225,1023
18076,225,1023
18277,225,1023
18478,225,1023
18679,225,1023
18880,226,1023
19081,226,1023
19281,226,1023
19483,226,1023
19684,227,1023
19885,227,1023
20086,227,1023
20287,227,1023
20488,227,1023
20688,227,1023
20890,228,1023
21091,228,1023
21292,228,1023
21492,228,1023
21694,228,1023
21895,228,1023
22095,229,1023
22296,229,1023
22498,229,1023
22699,229,1023
22899,229,1023
23100,229,1023
23302,230,1023
23502,230,1023
23703,230,1023
23905,230,1023
24105,230,1023
24306,230,1023
24507,230,1023
24709,231,1023
24909,231,1023
25110,231,1023
25311,231,1023
25512,231,1023
25713,231,1023
25914,231,1023
26115,231,1023
26316,231,1023
26517,231,1023
26718,232,1023
26918,232,1023
27120,232,1023
27321,232,1023
27522,232,1023
27723,232,1023
27924,232,1023
28125,232,1023
